TIPO_INSTRUMENTO;ESFERA;IBGE;UF;REGIAO;MACRORREGIAO;MUNICIPIO;EXERCICIO;FASE;SITUACAO;DATA
"2º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2019";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2019";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2019";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2019";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2020";"2018-2021";"Em apreciação pelo Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2021";"2018-2021";"Em apreciação pelo Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2025";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210690";"MA";"Santa Inês";"MACRORREGIAO NORTE";"MONCAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2018";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2019";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2020";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2021";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2025";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2025";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210700";"MA";"Imperatriz";"MACRORREGIAO SUL";"MONTES ALTOS";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2018";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2019";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2020";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2021";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2021";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2023";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2023";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2023";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2024";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2024";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2024";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2025";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210710";"MA";"Rosário";"MACRORREGIAO NORTE";"MORROS";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2018";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2018";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2018";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2020";"2018-2021";"Em apreciação pelo Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210720";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"NINA RODRIGUES";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
